width, height, channel= 23 25 3 LAMP, LAPV, TENG, GLVN= 30.087    665.36    19865.245 15.415   
width, height, channel= 25 13 3 LAMP, LAPV, TENG, GLVN= 25.251    391.31    19700.917 22.686   
width, height, channel= 175 144 3 LAMP, LAPV, TENG, GLVN= 17.008    367.291   19575.003 39.227   
width, height, channel= 118 99 3 LAMP, LAPV, TENG, GLVN= 12.774    244.492   9576.953  19.189   
width, height, channel= 100 95 3 LAMP, LAPV, TENG, GLVN= 10.929    218.684   10905.34  38.33    
width, height, channel= 58 53 3 LAMP, LAPV, TENG, GLVN= 27.523    788.71    34144.27  49.638   
width, height, channel= 56 51 3 LAMP, LAPV, TENG, GLVN= 18.532    413.568   19209.713 59.438   
width, height, channel= 25 21 3 LAMP, LAPV, TENG, GLVN= 13.343    211.602   17285.387 28.671   
width, height, channel= 26 19 3 LAMP, LAPV, TENG, GLVN= 10.026    41.302    4100.016  10.644   
width, height, channel= 37 27 3 LAMP, LAPV, TENG, GLVN= 11.546    79.064    10011.532 19.918   
width, height, channel= 128 98 3 LAMP, LAPV, TENG, GLVN= 7.455     59.936    4782.677  23.308   
width, height, channel= 59 52 3 LAMP, LAPV, TENG, GLVN= 18.385    398.149   16360.69  28.69    
width, height, channel= 26 21 3 LAMP, LAPV, TENG, GLVN= 17.215    211.444   29934.44  30.435   
width, height, channel= 96 41 3 LAMP, LAPV, TENG, GLVN= 4.721     22.027    4825.327  21.043   
width, height, channel= 35 32 3 LAMP, LAPV, TENG, GLVN= 30.719    955.675   33946.293 28.871   
width, height, channel= 113 101 3 LAMP, LAPV, TENG, GLVN= 13.141    301.738   14663.444 18.116   
width, height, channel= 20 18 3 LAMP, LAPV, TENG, GLVN= 25.943    521.714   21117.906 18.762   
width, height, channel= 23 19 3 LAMP, LAPV, TENG, GLVN= 31.602    871.202   27460.247 12.19    
width, height, channel= 29 25 3 LAMP, LAPV, TENG, GLVN= 33.729    1287.281  41646.447 24.302   
width, height, channel= 18 16 3 LAMP, LAPV, TENG, GLVN= 27.122    529.738   15425.729 7.809    
width, height, channel= 19 16 3 LAMP, LAPV, TENG, GLVN= 38.686    1625.524  41239.204 38.753   
width, height, channel= 22 20 3 LAMP, LAPV, TENG, GLVN= 35.251    1096.935  35523.568 22.016   
width, height, channel= 19 21 3 LAMP, LAPV, TENG, GLVN= 41.303    1245.261  42868.135 27.374   
width, height, channel= 20 13 3 LAMP, LAPV, TENG, GLVN= 23.888    493.451   13337.554 17.687   
width, height, channel= 46 28 3 LAMP, LAPV, TENG, GLVN= 11.097    235.391   11098.733 9.402    
width, height, channel= 41 25 3 LAMP, LAPV, TENG, GLVN= 25.008    686.088   36674.779 23.737   
width, height, channel= 49 45 3 LAMP, LAPV, TENG, GLVN= 10.267    132.216   8654.032  43.629   
width, height, channel= 45 39 3 LAMP, LAPV, TENG, GLVN= 18.666    416.97    18889.039 45.201   
width, height, channel= 31 28 3 LAMP, LAPV, TENG, GLVN= 26.467    566.766   23854.806 15.866   
width, height, channel= 41 37 3 LAMP, LAPV, TENG, GLVN= 24.606    763.602   34049.949 53.271   
width, height, channel= 42 43 3 LAMP, LAPV, TENG, GLVN= 15.945    514.512   24033.482 50.851   
width, height, channel= 23 18 3 LAMP, LAPV, TENG, GLVN= 31.558    851.968   53417.415 43.271   
width, height, channel= 25 20 3 LAMP, LAPV, TENG, GLVN= 20.675    242.352   19489.904 45.0     
width, height, channel= 20 21 3 LAMP, LAPV, TENG, GLVN= 14.412    107.007   9457.876  18.23    
width, height, channel= 139 122 3 LAMP, LAPV, TENG, GLVN= 9.123     175.986   12500.868 25.573   
width, height, channel= 32 25 3 LAMP, LAPV, TENG, GLVN= 38.579    1440.875  64589.41  51.525   
width, height, channel= 26 21 3 LAMP, LAPV, TENG, GLVN= 31.887    739.352   18165.037 15.676   
width, height, channel= 23 18 3 LAMP, LAPV, TENG, GLVN= 38.273    1086.672  32755.29  37.313   
width, height, channel= 26 23 3 LAMP, LAPV, TENG, GLVN= 39.496    1567.281  55649.886 44.691   
width, height, channel= 19 16 3 LAMP, LAPV, TENG, GLVN= 35.206    885.853   45172.934 22.179   
width, height, channel= 19 16 3 LAMP, LAPV, TENG, GLVN= 19.939    225.126   13109.658 12.475   
width, height, channel= 17 16 3 LAMP, LAPV, TENG, GLVN= 22.119    301.635   25642.206 38.812   
width, height, channel= 68 95 3 LAMP, LAPV, TENG, GLVN= 12.321    144.126   13862.904 34.738   
width, height, channel= 131 119 3 LAMP, LAPV, TENG, GLVN= 16.369    401.227   18206.147 56.6     
width, height, channel= 52 52 3 LAMP, LAPV, TENG, GLVN= 24.738    741.14    23101.158 35.755   
width, height, channel= 18 15 3 LAMP, LAPV, TENG, GLVN= 39.181    1551.016  41550.674 21.118   
width, height, channel= 18 19 3 LAMP, LAPV, TENG, GLVN= 21.8      434.244   11105.433 10.083   
width, height, channel= 21 17 3 LAMP, LAPV, TENG, GLVN= 32.538    772.15    25183.042 22.827   
width, height, channel= 20 17 3 LAMP, LAPV, TENG, GLVN= 28.74     737.056   36732.247 35.189   
width, height, channel= 21 24 3 LAMP, LAPV, TENG, GLVN= 20.585    438.591   18555.484 19.21    
width, height, channel= 23 27 3 LAMP, LAPV, TENG, GLVN= 19.477    398.835   22619.279 26.458   
width, height, channel= 95 77 3 LAMP, LAPV, TENG, GLVN= 8.655     108.266   8708.966  26.09    
width, height, channel= 64 70 3 LAMP, LAPV, TENG, GLVN= 6.267     56.672    11070.906 39.866   
width, height, channel= 94 85 3 LAMP, LAPV, TENG, GLVN= 12.169    298.554   9697.103  19.692   
width, height, channel= 18 18 3 LAMP, LAPV, TENG, GLVN= 33.907    980.102   34841.605 33.478   
width, height, channel= 23 22 3 LAMP, LAPV, TENG, GLVN= 30.398    631.497   44389.858 37.95    
width, height, channel= 22 21 3 LAMP, LAPV, TENG, GLVN= 18.132    218.063   12449.584 17.446   
width, height, channel= 33 31 3 LAMP, LAPV, TENG, GLVN= 24.581    463.046   27557.875 38.444   
width, height, channel= 19 24 3 LAMP, LAPV, TENG, GLVN= 33.177    746.679   34982.311 35.378   
width, height, channel= 26 23 3 LAMP, LAPV, TENG, GLVN= 30.965    853.192   30034.05  26.19    
width, height, channel= 31 29 3 LAMP, LAPV, TENG, GLVN= 30.264    533.714   27166.498 28.351   
width, height, channel= 30 27 3 LAMP, LAPV, TENG, GLVN= 28.826    654.82    33717.195 39.687   
width, height, channel= 23 27 3 LAMP, LAPV, TENG, GLVN= 30.17     655.948   26213.008 20.19    
width, height, channel= 25 25 3 LAMP, LAPV, TENG, GLVN= 32.516    658.634   35340.864 35.483   
width, height, channel= 22 23 3 LAMP, LAPV, TENG, GLVN= 29.999    540.239   31584.032 26.176   
width, height, channel= 29 30 3 LAMP, LAPV, TENG, GLVN= 24.945    420.793   29790.784 41.452   
width, height, channel= 22 24 3 LAMP, LAPV, TENG, GLVN= 34.72     809.564   39672.572 30.329   
width, height, channel= 26 22 3 LAMP, LAPV, TENG, GLVN= 26.945    519.546   29562.566 41.465   
width, height, channel= 28 28 3 LAMP, LAPV, TENG, GLVN= 29.934    710.905   32445.12  36.736   
width, height, channel= 14 21 3 LAMP, LAPV, TENG, GLVN= 42.548    1168.802  45693.721 30.09    
width, height, channel= 23 27 3 LAMP, LAPV, TENG, GLVN= 20.856    273.666   13787.031 16.267   
width, height, channel= 26 30 3 LAMP, LAPV, TENG, GLVN= 24.628    384.943   24759.933 34.376   
width, height, channel= 127 87 3 LAMP, LAPV, TENG, GLVN= 7.531     69.439    4293.849  17.543   
width, height, channel= 173 151 3 LAMP, LAPV, TENG, GLVN= 17.517    572.6     19466.098 64.479   
width, height, channel= 141 126 3 LAMP, LAPV, TENG, GLVN= 20.242    716.69    29790.249 73.816   
width, height, channel= 59 46 3 LAMP, LAPV, TENG, GLVN= 24.199    476.645   25674.117 49.96    
width, height, channel= 46 40 3 LAMP, LAPV, TENG, GLVN= 32.577    774.082   42112.177 43.527   
width, height, channel= 126 100 3 LAMP, LAPV, TENG, GLVN= 17.525    637.721   13691.874 15.356   
width, height, channel= 133 92 3 LAMP, LAPV, TENG, GLVN= 6.435     94.561    7626.612  49.285   
width, height, channel= 28 25 3 LAMP, LAPV, TENG, GLVN= 31.897    1028.375  56757.449 57.554   
width, height, channel= 23 20 3 LAMP, LAPV, TENG, GLVN= 42.902    1738.74   78360.674 52.107   
width, height, channel= 20 18 3 LAMP, LAPV, TENG, GLVN= 36.192    856.358   74791.461 60.679   
width, height, channel= 23 23 3 LAMP, LAPV, TENG, GLVN= 15.344    115.723   7392.272  7.474    
width, height, channel= 70 65 3 LAMP, LAPV, TENG, GLVN= 12.242    227.113   13513.82  31.21    
width, height, channel= 63 59 3 LAMP, LAPV, TENG, GLVN= 10.946    144.09    13231.547 37.429   
width, height, channel= 24 17 3 LAMP, LAPV, TENG, GLVN= 12.165    105.204   5750.505  8.31     
width, height, channel= 21 21 3 LAMP, LAPV, TENG, GLVN= 19.099    305.06    16749.864 41.023   
width, height, channel= 20 19 3 LAMP, LAPV, TENG, GLVN= 31.613    844.289   25417.195 21.178   
width, height, channel= 22 22 3 LAMP, LAPV, TENG, GLVN= 24.183    463.192   15264.202 24.958   
width, height, channel= 116 80 3 LAMP, LAPV, TENG, GLVN= 14.564    251.359   13408.752 25.28    
width, height, channel= 63 56 3 LAMP, LAPV, TENG, GLVN= 12.921    225.708   12171.565 26.231   
width, height, channel= 40 25 3 LAMP, LAPV, TENG, GLVN= 12.28     87.527    5857.722  11.793   
width, height, channel= 116 96 3 LAMP, LAPV, TENG, GLVN= 11.272    206.108   14930.57  36.457   
width, height, channel= 79 72 3 LAMP, LAPV, TENG, GLVN= 12.717    192.331   8741.795  14.088   
width, height, channel= 59 40 3 LAMP, LAPV, TENG, GLVN= 28.145    1037.737  34102.392 43.685   
width, height, channel= 32 33 3 LAMP, LAPV, TENG, GLVN= 19.891    501.979   17703.402 21.73    
width, height, channel= 32 35 3 LAMP, LAPV, TENG, GLVN= 20.646    498.69    20691.27  18.617   
width, height, channel= 33 28 3 LAMP, LAPV, TENG, GLVN= 29.468    824.713   32865.816 21.895   
width, height, channel= 33 26 3 LAMP, LAPV, TENG, GLVN= 23.237    636.554   31141.664 26.333   
width, height, channel= 29 29 3 LAMP, LAPV, TENG, GLVN= 21.052    440.407   23315.848 27.619   
width, height, channel= 31 24 3 LAMP, LAPV, TENG, GLVN= 26.554    783.631   29163.694 38.432   
width, height, channel= 69 66 3 LAMP, LAPV, TENG, GLVN= 21.364    431.534   13277.827 16.252   
width, height, channel= 36 36 3 LAMP, LAPV, TENG, GLVN= 24.704    469.841   17584.556 14.312   
width, height, channel= 124 104 3 LAMP, LAPV, TENG, GLVN= 11.167    231.388   12241.895 26.067   
width, height, channel= 7 6 3 LAMP, LAPV, TENG, GLVN= 40.976    962.645   8353.667  3.958    
width, height, channel= 6 7 3 LAMP, LAPV, TENG, GLVN= 92.298    4517.34   76549.429 19.796   
